____________UK_;____________UK_;1747;M
__BusinessNews;__BusinessNews;17638;NA
_aimeeholmes;_aimeeholmes;418;F
_ChelseaAmor;_ChelseaAmor;1849;NA
_e11ie;_e11ie;1302;F
_ellskench;_ellskench;12406;F
_Ema_W_;_Ema_W_;564;F
_jen_mo;_jen_mo;4410;F
_KingsWalkGlos;_KingsWalkGlos;1308;M
_kljx;_kljx;2043;F
_SophieLouise__;_SophieLouise__;602;F
_tabithaford;_tabithaford;283;NA
_xJemmax_;_xJemmax_;1539;NA
_xJemmax_;_xJemmax_;1540;NA
0DegreesCelsius;0DegreesCelsius;4425;M
12ab12ab34;12ab12ab34;1002;M
193whitecrossst;193whitecrossst;910;NA
1kevbanham;1kevbanham;1451;M
1wayticket2hell;1wayticket2hell;908;NA
27Tawnyowl;27Tawnyowl;4838;M
3NovicesEngland;3NovicesEngland;624;NA
5ft1andpetty;5ft1andpetty;671;M
a_duggleby;a_duggleby;18708;M
aalleyne;aalleyne;743;NA
AbandonedIdeas;AbandonedIdeas;1347;NA
AbandonedIdeas;AbandonedIdeas;1349;NA
abby_brookman1;abby_brookman1;1704;F
abtsag;abtsag;11436;NA
ABWatersportsUK;ABWatersportsUK;129;M
abxhunt;abxhunt;1740;F
acardcaptor;acardcaptor;5367;NA
AdamBlackmore;AdamBlackmore;16864;M
AdamZSN;AdamZSN;188;M
adeletayor;adeletayor;1726;F
adelleg3x;adelleg3x;1498;F
AdquisitioUK;AdquisitioUK;1924;NA
aesthetix_katie;aesthetix_katie;3836;F
AiLyn_Runner;AiLyn_Runner;1065;F
Aimee3223;Aimee3223;1696;F
aismcgarrigle;aismcgarrigle;2255;NA
AJSSocialMedia;AJSSocialMedia;3996;F
AlainaBullock;AlainaBullock;11992;F
alan_NornIron;alan_NornIron;1814;M
alanbuxey;alanbuxey;334;NA
alexcooper81;alexcooper81;6085;M
alexhsmith_;alexhsmith_;671;M
alexyjanem;alexyjanem;17397;M
AliBarbuti;AliBarbuti;1282;NA
AliceRoss22;AliceRoss22;1614;F
alina_mirica8;alina_mirica8;5903;F
alisoncondy;alisoncondy;395;NA
alisonwilliamsx;alisonwilliamsx;905;F
allofmcr;allofmcr;11926;NA
AllThingsGenie;AllThingsGenie;1878;NA
AllThingsGinge;AllThingsGinge;11174;NA
aloewhat;aloewhat;6489;NA
alvinlindsay21;alvinlindsay21;108517;M
Amandamegs1974;Amandamegs1974;2147;F
ambermaryx;ambermaryx;4724;F
amelievondollar;amelievondollar;4495;F
amelievondollar;amelievondollar;4496;NA
AminaAli_MUA;AminaAli_MUA;2282;NA
AmourJaniel;AmourJaniel;523;M
amycroft25;amycroft25;1346;F
amyd93xo;amyd93xo;825;F
AmyMcevoy_;AmyMcevoy_;1642;F
AmyZ37;AmyZ37;288;M
Anagoesgreen;Anagoesgreen;10416;F
anarchyfemveg;anarchyfemveg;3032;F
Andrea2233322;Andrea2233322;3272;F
anDres_Luv;anDres_Luv;791;M
AndrewRayner00;AndrewRayner00;732;M
AndyGibsonTV;AndyGibsonTV;5005;M
AndyGilder;AndyGilder;5078;NA
angelamichele67;angelamichele67;59;F
angelasurgenor1;angelasurgenor1;16385;F
AngeloT01;AngeloT01;2251;NA
Angie__10101010;Angie__10101010;4333;F
angiehoggett;angiehoggett;4403;F
AngleseyScMedia;AngleseyScMedia;46072;NA
anitasturnham;anitasturnham;49084;NA
AnnabelGreaves;AnnabelGreaves;525;F
annachapman1986;annachapman1986;505;F
annekaboardman;annekaboardman;3238;NA
AnnyahDeanna;AnnyahDeanna;620;NA
ANPSkinClinc;ANPSkinClinc;666;NA
antonybutcher;antonybutcher;1207;M
aokrucksackapp1;aokrucksackapp1;9478;F
APSkincare_;APSkincare_;264;M
AQuietNightmare;AQuietNightmare;92;F
AQuietNightmare;AQuietNightmare;92;M
aroseforepona_;aroseforepona_;3238;F
Arwen_Elfin;Arwen_Elfin;947;NA
ashtia_;ashtia_;761;F
AsNatIntended;AsNatIntended;12959;NA
ATinley92;ATinley92;420;M
atqhaqita;atqhaqita;304;NA
ATSocialMediaUK;ATSocialMediaUK;57375;NA
auldcove;auldcove;2209;NA
AuthorGBDavies;AuthorGBDavies;5849;NA
AuthorGBDavies;AuthorGBDavies;5850;NA
Ava__z;Ava__z;3894;F
aveashdown44;aveashdown44;100461;NA
aveashdown44;aveashdown44;100462;NA
aveashdown44;aveashdown44;100464;F
aveashdown44;aveashdown44;100465;F
aveashdown44;aveashdown44;100465;NA
aveashdown44;aveashdown44;100466;NA
ayesha84xx;ayesha84xx;174;F
Aysh_tmb;Aysh_tmb;1853;NA
AzlinBloor;AzlinBloor;3684;NA
AzurPR;AzurPR;3572;NA
Babydebz1984;Babydebz1984;2128;F
BackBliss;BackBliss;582;NA
BaileysaPumpkin;BaileysaPumpkin;1747;F
bailZszsz;bailZszsz;477;M
Balkim1970Kim;Balkim1970Kim;3016;F
ballroombeauty7;ballroombeauty7;638;F
Ballstocancer;Ballstocancer;74289;NA
BalmainHairUK;BalmainHairUK;13354;NA
banditbear247;banditbear247;6186;M
bareMineralsUK;bareMineralsUK;36692;NA
barrabest;barrabest;63470;M
barryjohnharper;barryjohnharper;4730;M
BarryMCosmetics;BarryMCosmetics;139880;M
Battsby;Battsby;7900;NA
battynatty29;battynatty29;1355;F
BazaarUK;BazaarUK;528924;M
BazaarUK;BazaarUK;528925;M
BBC;BBC;1011397;NA
BBCLookNorth;BBCLookNorth;273564;NA
bbcmtd;bbcmtd;296818;NA
BBCRadio3;BBCRadio3;96231;NA
BBCScotlandNews;BBCScotlandNews;378519;NA
bbctms;bbctms;307243;NA
BBCWales;BBCWales;152083;NA
bbcweather;bbcweather;360523;NA
bbcweather;bbcweather;360526;NA
BBlogRT;BBlogRT;32285;NA
bdnews24;bdnews24;208589;NA
BDQblog;BDQblog;1151;NA
bear_faced_lady;bear_faced_lady;1549;NA
bearbearLLAMA;bearbearLLAMA;625;NA
Beauty_Bible;Beauty_Bible;13153;NA
beautyandtheboy;beautyandtheboy;5629;NA
beautyjunkieldn;beautyjunkieldn;27426;F
BeautyKingdomUK;BeautyKingdomUK;28787;NA
BeautyluxUK;BeautyluxUK;347;NA
Beautylymin;Beautylymin;3101;F
beautyretreats;beautyretreats;259;NA
BeautyShortlist;BeautyShortlist;31656;NA
BeautyShortlist;BeautyShortlist;31658;NA
Becca_DP;Becca_DP;2845;F
BeckiBooBoop;BeckiBooBoop;3879;F
beckvalleybooks;beckvalleybooks;18244;NA
beegreenmag;beegreenmag;1990;F
Beenabbc82;Beenabbc82;422;NA
beingcontent;beingcontent;11326;NA
BelindaHayle;BelindaHayle;6710;NA
BeoWilmslow;BeoWilmslow;2855;M
berkshirebassa;berkshirebassa;438;M
BethArthur19;BethArthur19;4140;NA
bettyjo62;bettyjo62;2334;F
BevAlice;BevAlice;680;NA
beyer_char;beyer_char;5117;F
BhamCityCouncil;BhamCityCouncil;125010;NA
bigdc76;bigdc76;2117;M
bigpr1ncess;bigpr1ncess;315;F
Bigwasp80;Bigwasp80;748;F
bIissfulbutera;bIissfulbutera;12568;NA
BINGBING_CKTAIL;BINGBING_CKTAIL;29592;NA
BINGBING_CKTAIL;BINGBING_CKTAIL;29595;NA
BINGBINGFASHION;BINGBINGFASHION;24787;NA
BINGBINGFASHION;BINGBINGFASHION;24789;NA
BioPortfolio;BioPortfolio;6012;NA
birminghammail;birminghammail;249621;NA
birminghammail;birminghammail;249624;NA
BIUK;BIUK;52385;NA
BizzieBabyUk;BizzieBabyUk;28738;NA
bjemec;bjemec;13323;F
blah_ciaraa;blah_ciaraa;249;F
Blake_D_T;Blake_D_T;763;NA
BlessinggK;BlessinggK;1304;M
Bliadhnaichean;Bliadhnaichean;2177;M
blixberrie;blixberrie;1364;NA
blogginggals;blogginggals;44812;NA
BlondeTeaParty;BlondeTeaParty;1651;F
BlueHalcyon_;BlueHalcyon_;150;NA
BlueMaestroBaby;BlueMaestroBaby;2059;NA
BLVCKMUMBA;BLVCKMUMBA;361;NA
bohaynowell;bohaynowell;1138;NA
BonhamJosie;BonhamJosie;1275;F
boo1003;boo1003;4970;F
BootsHelp;BootsHelp;13466;NA
BootsUK;BootsUK;94891;NA
bottymcbottica;bottymcbottica;1484;M
bottymcbottica;bottymcbottica;1485;M
bougieghanaian;bougieghanaian;427;F
bougieghanaian;bougieghanaian;427;NA
BreatheUnityPR;BreatheUnityPR;6540;NA
BriaEWilliams;BriaEWilliams;838;NA
bridie4;bridie4;1460;F
Britanniacomms;Britanniacomms;101613;NA
British_Airways;British_Airways;1086405;NA
British_Airways;British_Airways;1086407;NA
British_Airways;British_Airways;1086409;NA
British_Airways;British_Airways;1086410;NA
BritishTVHub;BritishTVHub;10930;NA
BritishVogue;BritishVogue;3548596;NA
BritishVogue;BritishVogue;3548598;NA
BritishVogue;BritishVogue;3548600;NA
BritishVogue;BritishVogue;3548601;NA
BritishVogue;BritishVogue;3548604;NA
BritishVogue;BritishVogue;3548613;NA
BritishVogue;BritishVogue;3548615;NA
BritishVogue;BritishVogue;3548616;NA
BritishVogue;BritishVogue;3548618;NA
BritishVogue;BritishVogue;3548619;NA
BritishVogue;BritishVogue;3548620;NA
BritMums;BritMums;75337;NA
brooklyn_print;brooklyn_print;5925;F
BrownBeautyTalk;BrownBeautyTalk;4816;NA
brucedon5;brucedon5;1451;NA
BrummiesNaughty;BrummiesNaughty;3778;NA
bunniboila;bunniboila;6126;NA
butwhybewhy;butwhybewhy;321;F
BuzymumSonia;BuzymumSonia;1567;F
bxrbequeniall;bxrbequeniall;10317;NA
C_P_Randall;C_P_Randall;1702;M
CaptMikeYates;CaptMikeYates;1306;M
carameltrace;carameltrace;1781;F
carbonbasedqt;carbonbasedqt;151;M
CarlSpangled;CarlSpangled;1382;NA
CarlyRaeSummers;CarlyRaeSummers;71644;F
CarolineHirons;CarolineHirons;61565;F
CarolineHirons;CarolineHirons;61566;F
CarolKettley;CarolKettley;433;NA
