Source;Target;Type;Weight
traceynmakeupandmore;skindinavia;Directed;2
rachelmontgomerymakeup;jacktaylor__1;Directed;1
neutrogena_au;themakeupaficionado17;Directed;1
simpleskincareau;activeyogi;Directed;1
simpleskincareau;belles_garden;Directed;1
beautybaseluxuryspaclinic;jasonqueue;Directed;2
letar.nara;redkenaustralia;Directed;1
rachelmontgomerymakeup;rachelmontgomerymakeup;Directed;19
avene_au;asheleighdmello;Directed;1
mrkendenis;neutrogena_au;Directed;2
lilynotlouise;muradskincareaus;Directed;1
avene_au;glitterinhereyes;Directed;1
beautiloco_beautyclinicandspa;dermalogica;Directed;1
rachelmontgomerymakeup;revlo;Directed;1
dialytesbeautytherapy;humphreysdialyte;Directed;1
larocheposayau;iamemmawilde;Directed;1
avene_au;flawedandflawless;Directed;1
beautynews_au;bondisands;Directed;1
theknightly;larocheposayau;Directed;6
beautynews_au;garnierau;Directed;1
simpleskincareau;chyazamuel;Directed;1
biodermaaustralia;lichipan;Directed;1
marielou.makeup;meccacosmetica;Directed;1
neutrogena_au;girlsxploring;Directed;1
neutrogena_au;prettydressesinthelaundry;Directed;1
sydney.makeup.artist;maccosmeticsaustralia;Directed;1
simpleskincareau;book_after_book;Directed;1
fabulousandfunlife;roberto_cavalli;Directed;1
skinandbeautysuite;dermalogicaaus;Directed;16
avene_au;flipandstyle;Directed;1
pricelinepharmacycronulla;nivea_au;Directed;1
kruebrands;union_management;Directed;1
rachelmontgomerymakeup;zoevacosmetics;Directed;4
diaryofange;shoptobi;Directed;1
shellarubymartin;sirenshoes;Directed;1
shellarubymartin;heraldsunphoto;Directed;1
biodermaaustralia;netaporter;Directed;1
beautybybeck;_omnilux_;Directed;1
muradskincareaus;fit4beauty_;Directed;1
ultraformeraustralia;enrichclinic;Directed;2
frosty_gloss;clinique_oz;Directed;1
loadsoflifestyle;elizabethandjames;Directed;1
biodermaaustralia;helenblandino;Directed;1
pricelinearmadale;dove;Directed;1
larocheposayau;larocheposay;Directed;1
lilynotlouise;dove;Directed;1
niputuchandra;aubeaucosmetics;Directed;1
thehanihanii;beccacosmetics;Directed;1
curlysiouxsie;luis_murphy;Directed;1
vocta;dermalogicaaus;Directed;1
biodermaaustralia;marieluvpink;Directed;1
jasminilic;avene_au;Directed;1
lubzsays;hudabeauty;Directed;1
avene_au;danielle_vella;Directed;2
avene_au;shuanabeauty;Directed;1
larocheposayau;annaxxx_;Directed;1
beautybybeck;ponicosmetics;Directed;1
tiffanylovemua;blessedpixels;Directed;4
flawlessbeautybypeta;prismatic_;Directed;1
shellarubymartin;kylenawrocki1;Directed;1
shellarubymartin;armanibeauty;Directed;1
avene_au;mamadisrupt;Directed;1
avene_au;miaasmilley;Directed;1
beautybybeck;dermalogica;Directed;1
lilynotlouise;colettebycollette;Directed;1
a.few.of.my.favourite.things;dermalogicaaus;Directed;1
emlebo;blaq;Directed;1
chelseabrown.hmua;ch;Directed;1
skindepthdermatology;tomorganic;Directed;1
rachelmontgomerymakeup;henrykphoto;Directed;4
lubzsays;nudebynature;Directed;1
ryanconduitphotography;laurencourtneysmith;Directed;3
ellarougekotara;ellarougeskinclinics;Directed;2
_letsbenosey;biodermaaustralia;Directed;4
fraulein_foxwhelp;larocheposay;Directed;1
avene_au;madelineloves;Directed;1
thehanihanii;nyxcosmetics_australia;Directed;1
phoenixbeautytherapy;dermalogicaaus;Directed;2
honeybodysalon;dermalogicaaus;Directed;1
simpleskincareau;katinalindaa;Directed;1
larocheposayau;cheekmeout;Directed;1
biodermaaustralia;lilynotlouise;Directed;1
marisarobinson.mua;muradskincareaus;Directed;1
larocheposayau;kay_sukumar;Directed;1
biodermaaustralia;tuulavintage;Directed;1
themakeup_one;neostratauk;Directed;1
biodermaaustralia;fabulousandfunlife;Directed;1
larocheposayau;tokyobeautybook;Directed;1
priceline_burpengary;gina_lash;Directed;1
skindepthdermatology;snobfashionblog;Directed;1
simpleskincareau;julieesolberg;Directed;1
biodermaaustralia;diaryofange;Directed;1
larocheposayau;daintybunnypie;Directed;1
thatbloggerjade;dove;Directed;1
danicayemakeup;fabikorbes;Directed;1
tiffanylovemua;tiffanylovemua;Directed;3
katrinaraftery;charlotte__stokes;Directed;1
simpleskincareau;earthyandy;Directed;1
dermalogicaaus;nikkiajoy;Directed;1
thebeautyroommosmananddarlo;bittersweetcolours;Directed;1
larocheposayau;raising;Directed;1
biodermaaustralia;misswen;Directed;1
priceline_jamesst;simpleskinc;Directed;1
lovelouisebeauty;skinrepubli;Directed;1
lilynotlouise;ecotools;Directed;2
vbeautyvt;marcjacobs;Directed;1
beautybyash1;modelrocklashes;Directed;5
terrywhitechemmartclare;clarechemmart;Directed;1
additionalglamour;dermalogicaaus;Directed;1
muradskincareaus;laurenkvickers;Directed;1
biodermaaustralia;hudabeauty;Directed;1
melt_beauty;dermalogicaaus;Directed;1
larocheposayau;lacatapaulsen;Directed;1
larocheposayau;trish_p_;Directed;1
diaryofange;neutrogena_au;Directed;1
mahalaskinandbeauty;dermalogicaaus;Directed;6
loadsoflifestyle;meccacosmetica;Directed;1
larocheposayau;thetroveblog;Directed;1
theknightly;mynameishowdy_;Directed;1
bygabrielle;dove;Directed;1
rachelmontgomerymakeup;marcbeauty;Directed;2
skindepthdermatology;dralicerudd;Directed;5
neutrogena_au;violet_hollow;Directed;1
beauty_at_savvy;dermalogicaaus;Directed;1
mahalaskinandbeauty;prioriaust;Directed;1
dianadjurdjevski_makeup;talentlandagency;Directed;1
heyfancyface_skincare;dr_organic;Directed;1
larocheposayau;beautyheaven;Directed;4
biodermaaustralia;biodermausa;Directed;2
rosalindblog;klairs;Directed;1
dianadjurdjevski_makeup;chic_management;Directed;1
simpleskincareau;briannabodyfit;Directed;1
beautynews_au;essano_beauty;Directed;1
biodermaaustralia;l;Directed;1
lindaqartistry;lauramercieraus;Directed;1
omorfibeauty;meccamaxima;Directed;1
shellarubymartin;ngvmelbourne;Directed;3
chelseabrown.hmua;chelseabrown;Directed;1
neutrogena_au;onabeautybender;Directed;2
biodermaaustralia;thehanihanii;Directed;1
rosalindblog;toniandguyproducts_au;Directed;1
avene_au;teacupofmakeup;Directed;3
neutrogena_au;neutrogena;Directed;1
avene_au;mybeautyheroes;Directed;2
vaselineau;cocoandchinos;Directed;1
traceynmakeupandmore;embryolisseusa;Directed;2
sereniti.on.barkly;dermalogicaaus;Directed;2
avene_au;karimamckimmie;Directed;1
shellarubymartin;biodermaaustralia;Directed;8
biodermaaustralia;one;Directed;1
rachelmontgomerymakeup;honeybirdette;Directed;1
avene_au;zenakhatibmakeup;Directed;2
rubymaemakeupdiary;simpleskincareau;Directed;3
beautynews_au;lorealskin;Directed;1
larocheposayau;tellmeyblog;Directed;2
areteaesthetics;skinceuticals;Directed;2
larocheposayau;the_morena_chronicles;Directed;1
simpleskincareau;happyandhealthy96;Directed;1
rachelmontgomerymakeup;maccosmeticsaustralia;Directed;8
missannaqian;muradskincareaus;Directed;2
larocheposayau;ladywritesblog;Directed;1
biodermaaustralia;kitschsnitch;Directed;1
kristinacc_beauty;simpleskincareau;Directed;1
niputuchandra;blpbeauty;Directed;1
pricelinepharmacyhamilton;colgateanz;Directed;2
lindaqartistry;cristygarces;Directed;1
