Source;Target;Type;Weight
tri_info;anthonyraphael_;Mixed;1
sharonclues;gaystarnews;Directed;1
drmichaelp;thehealthygp;Mixed;1
shazanfar;jenny_stem;Directed;1
christinamkhael;bubblesaus;Mixed;1
snackbarass;dove;Directed;1
meisshaily;tri_info;Directed;1
kevinmorgantas;dove;Directed;1
melbourneyum;melbourneyum;Mixed;4
mikoyamada1086;tarlprow;Mixed;1
caitzeee;missy_lanning;Mixed;1
unimelbmdhs;sincdermatology;Directed;1
thehealthygp;nomadicgp;Directed;2
dgoaim;drlawrenceosman;Mixed;1
nathantoll_;thamkhaimeng;Mixed;1
thetelling;itsmebeccax;Directed;1
nashoskian;neutrogena;Directed;1
amoz1972;jidjournal;Directed;1
justinskians_;simpleskincare;Directed;1
vacuousness;dove;Directed;1
haleyunscripted;dove;Directed;1
funnysmells;mrzeeco;Mixed;1
dgoaim;ancientanatolia;Mixed;2
genero;dove;Directed;3
__eclectica;thamkhaimeng;Mixed;1
superstarphenom;dove;Directed;1
pony_farts;vrunt;Mixed;1
mm_ssssshh;dove;Directed;1
yolanda_vu_;palmersuk;Directed;1
womeninmediaoz;haleyunscripted;Mixed;1
ozdermatologist;dermnetnz;Mixed;1
rheemor;ncloonan;Directed;1
tribeflare;huffingtonpost;Directed;1
kerrygoldwyn;neutrogena;Mixed;1
_roxanne10_;simpleskincare;Directed;1
sadhbhis;neutrogena;Directed;4
tcox_lab;unsw;Directed;1
jorja_xo;zoevacosmetics;Directed;1
tcox_lab;amoz1972;Directed;1
marya_kenya254;shondarhimes;Mixed;1
ktasanders;drsaxonsmith;Mixed;1
_samanthaf_;fastfm;Mixed;1
desiresfool;aquiversivan;Directed;1
thehealthygp;amaq_president;Directed;1
pollymaeve;kymtje;Directed;1
mbrown_beauty;jesintacampbell;Directed;1
voguefitblog;dove;Directed;4
cpradelaide;dove;Directed;1
drsaxonsmith;amycorderoy;Mixed;1
skinfitlife;uqdrc;Mixed;1
chatbottest;dove;Directed;1
rainamacintyre;gillianscott07;Directed;1
katshepsutt;dove;Directed;1
lasercareaust;lasercareaust;Directed;1
dgoaim;stgmrf;Directed;1
thanhvyn;heartdefensor;Mixed;2
kari_shah;vaselinebrand;Directed;1
hoodftmendes;nashgrier;Mixed;1
larocheposay_au;wepunchbears;Directed;3
mrodriguesmd;vitiligosupport;Directed;1
ketaminh;sunnycsharma;Directed;2
vagniou;dove;Directed;4
nickhongsenglee;hpsoyer;Mixed;1
reportwe;fastcompany;Directed;1
pws5678;dove;Directed;1
dgoaim;elleuk;Directed;1
proactivaus;rubygolani;Directed;2
bellasspot;proactivaus;Directed;1
pray4merder;katieheigl;Mixed;1
mrodriguesmd;vcrebecca;Directed;1
kitkatsholt;neutrogena;Mixed;1
larocheposay_au;newscomauhq;Directed;1
blueskyemining;elvinm;Directed;1
yolanda_vu_;plasticdiaries;Directed;1
dangerdolanss;nashgrier;Directed;2
ozharvest;dove;Directed;1
ceceandgrace;nuxeaustralia;Directed;1
mrodriguesmd;aadskin;Mixed;13
proactivaus;oliviamunn;Directed;2
jarradmitchell;justkelly_ok;Directed;1
karlskib;bulubane;Directed;4
justsocialize;sallyhogshead;Directed;1
_midofo_;upulie;Directed;1
welcometocom;huffingtonpost;Directed;1
teamdaley;dove;Directed;1
thehealthygp;palliverse;Directed;1
gerrygannon;bloggerconf;Directed;2
vanessaworldofh;dove;Directed;1
jesseankh;fashionista_com;Directed;1
tiana_g123;thehealthygp;Mixed;2
roud7734;sallyjsara;Directed;1
ausssc;hpsoyer;Directed;6
lildamekl;dove;Directed;1
esseeeayeenn;ellenblogs;Directed;2
ontakt;dove;Directed;1
auntycath1;vaselinebrand;Directed;1
katshepsutt;dermalogicaaus;Directed;1
goldwynpope;kerracters;Mixed;12
anaestricks;anaesthesia_agb;Directed;3
mattbrick1;larocheposay_au;Directed;1
cybermum_au;newscomauhq;Directed;2
brookmanknight;thehealthygp;Mixed;2
leighacampbell;dove;Directed;1
essjayeff;dove;Directed;1
lovinggrimmeh;teenvogue;Directed;2
jesseankh;muradskincare;Directed;1
rustyroar;c0nvey;Directed;1
beautybyyvee;dermalogicaaus;Directed;1
acegiak;dove;Directed;1
dgoaim;sonalbisht;Mixed;1
platinumderma;aadskin;Mixed;7
dgoaim;elif_safak;Directed;1
mashxtowin;stillgray;Directed;2
mrodriguesmd;harrisvitiligo;Directed;1
coopesdetat;clairehenry0;Directed;1
thedaisygardner;adland;Mixed;1
parsacarly;dove;Directed;2
melbourneyum;muradskincare;Directed;1
melliszewski;louiserawauthor;Mixed;1
cybermum_au;dove;Directed;1
dgoaim;ftlifearts;Mixed;1
manallxox;reunelleh;Directed;1
campingstik;boygeorge;Mixed;1
mrodriguesmd;bsfcharity;Directed;1
