Id;Label;Followers;Gender;BrandSource
4jhndrck;4jhndrck;162;male;OtherBrand
6ixx_peach;6ixx_peach;288;unknown;JnJBrand
790mel;790mel;50;unknown;JnJBrand
876taylor_made;876taylor_made;340;female;OtherBrand
__carolinecc;__carolinecc;521;female;OtherBrand
__eclectica;__eclectica;758;female;OtherBrand
__lnsd;__lnsd;403;female;OtherBrand
_chantelle_p;_chantelle_p;1130;female;Professional
_charfrances;_charfrances;16;female;OtherBrand
_flex4u;_flex4u;159906;unknown;OtherBrand
_hollygrace_;_hollygrace_;110;female;OtherBrand
_hollytweets;_hollytweets;174;female;OtherBrand
_kev_el;_kev_el;659;male;OtherBrand
_lilmamagrier_;_lilmamagrier_;510;female;JnJBrand
_midofo_;_midofo_;338;male;OtherBrand
_philipparuth;_philipparuth;54;female;Professional
_roxanne10_;_roxanne10_;1169;female;OtherBrand
_samanthaf_;_samanthaf_;2353;female;OtherBrand
a_evangeli;a_evangeli;665;female;Professional
abbeydiaz_says;abbeydiaz_says;704;female;Professional
abbygigi1981;abbygigi1981;405;female;OtherBrand
abcthedrum;abcthedrum;137839;unknown;OtherBrand
abdul_mode;abdul_mode;262;unknown;JnJBrand
abey_australia;abey_australia;970;unknown;OtherBrand
absoluteskinau;absoluteskinau;2251;unknown;OtherBrand
acahacker;acahacker;1164;female;OtherBrand
acegiak;acegiak;995;male;OtherBrand
adamferrier;adamferrier;18628;male;OtherBrand
addictivegrierr;addictivegrierr;1272;female;OtherBrand
adeldmeyer;adeldmeyer;51734;male;OtherBrand
adfowl;adfowl;1029;unknown;OtherBrand
adjstrmembered;adjstrmembered;94;unknown;OtherBrand
adnews;adnews;40138;unknown;OtherBrand
adv_dermatology;adv_dermatology;798;unknown;Professional
aestheticskin2;aestheticskin2;40;unknown;OtherBrand
afeministmother;afeministmother;775;female;OtherBrand
affiliatebyapd;affiliatebyapd;417;unknown;JnJBrand
affyb79;affyb79;537;unknown;OtherBrand
aghcid;aghcid;10609;female;OtherBrand
agrf_genomics;agrf_genomics;581;unknown;Professional
ahaermeyer;ahaermeyer;718;unknown;OtherBrand
aia_sydneycbd;aia_sydneycbd;405;unknown;OtherBrand
aiembicated;aiembicated;1150;female;OtherBrand
alamyoosuff;alamyoosuff;334;male;Professional
aleeb88;aleeb88;1231;male;OtherBrand
alexburns;alexburns;1352;unknown;Professional
alexjgregg;alexjgregg;122;unknown;Professional
alice3499;alice3499;308;female;OtherBrand
aliceburgum;aliceburgum;146;female;OtherBrand
aliceroared;aliceroared;395;female;JnJBrand
aliciaceleste;aliciaceleste;106;female;Professional
alisterrobbie;alisterrobbie;4739;male;OtherBrand
allynnnns;allynnnns;173;female;JnJBrand
almightyljp;almightyljp;3371;female;JnJBrand
almostposh;almostposh;226;female;OtherBrand
almz_avila;almz_avila;243;female;OtherBrand
ama_media;ama_media;16219;unknown;Professional
ama_nsw;ama_nsw;1701;female;Professional
amarsh6annalise;amarsh6annalise;172;female;JnJBrand
ambacomms;ambacomms;1176;unknown;OtherBrand
amber_wallace75;amber_wallace75;1763;female;JnJBrand
amberp_w;amberp_w;704;female;OtherBrand
amnestyoz;amnestyoz;57237;unknown;OtherBrand
amoz1972;amoz1972;106;female;Professional
amy_max_;amy_max_;20;female;JnJBrand
amyuliyuli;amyuliyuli;1057;unknown;OtherBrand
anaestricks;anaestricks;2754;male;Professional
anahcaquino;anahcaquino;584;female;OtherBrand
anakinbiwalker;anakinbiwalker;870;female;OtherBrand
andrea_cafnik;andrea_cafnik;32;female;OtherBrand
andrewianwilson;andrewianwilson;382;male;OtherBrand
andrewjtagg;andrewjtagg;2391;male;Professional
andrewpitkin2;andrewpitkin2;26;male;OtherBrand
andrewschnell51;andrewschnell51;63;male;OtherBrand
andy_merrick;andy_merrick;842;male;OtherBrand
angiechicky;angiechicky;29;female;OtherBrand
anitasarcastic;anitasarcastic;165;female;OtherBrand
annaxxx_;annaxxx_;109;female;JnJBrand
annburns19;annburns19;18;female;OtherBrand
anthony_thorpe;anthony_thorpe;146;male;Professional
anthonyraphael_;anthonyraphael_;19;male;Professional
antoniagage;antoniagage;235;female;Professional
anytiffng;anytiffng;442;female;OtherBrand
anzca;anzca;3123;unknown;Professional
anzspm16;anzspm16;168;unknown;Professional
aoifehaigh123;aoifehaigh123;320;female;JnJBrand
aoifemcgreal1;aoifemcgreal1;56;female;OtherBrand
apairofones;apairofones;298;unknown;OtherBrand
apicot;apicot;2806;female;Professional
aptronym;aptronym;2035;male;OtherBrand
apureindulgence;apureindulgence;67;unknown;OtherBrand
aretigav;aretigav;12;unknown;Professional
arganbestprice;arganbestprice;934;unknown;OtherBrand
arksadd;arksadd;49;unknown;OtherBrand
arnomichelin;arnomichelin;1973;male;JnJBrand
arodcmarolf;arodcmarolf;147;female;OtherBrand
asghaff;asghaff;2086;male;OtherBrand
ash_riordan;ash_riordan;33;male;OtherBrand
ashleyintheory;ashleyintheory;1241;unknown;OtherBrand
ashleywinn01;ashleywinn01;1114;female;OtherBrand
ashtbc;ashtbc;683;male;OtherBrand
askgerbil;askgerbil;3729;unknown;OtherBrand
assangefreedom;assangefreedom;20759;unknown;OtherBrand
asxwatcher007;asxwatcher007;1359;male;OtherBrand
attackoftheclaw;attackoftheclaw;854;male;OtherBrand
au_gpreview;au_gpreview;150;unknown;Professional
audermreviews;audermreviews;39;unknown;Professional
auntycath1;auntycath1;269;female;OtherBrand
aus_contrarian;aus_contrarian;170;male;OtherBrand
auscdnpaula;auscdnpaula;40;female;OtherBrand
ausmed;ausmed;1595;unknown;Professional
aussie;aussie;8688;unknown;OtherBrand
aussie4real;aussie4real;58;unknown;OtherBrand
aussietrudes;aussietrudes;236;female;OtherBrand
ausssc;ausssc;238;unknown;Professional
australiandr;australiandr;16886;unknown;Professional
aweacademy;aweacademy;79;unknown;Professional
awkward_ella;awkward_ella;891;female;OtherBrand
ayyeeadrian;ayyeeadrian;233;male;OtherBrand
badbarbiemaraj;badbarbiemaraj;87;male;OtherBrand
badrepdaniella;badrepdaniella;1231;female;OtherBrand
bassemakladios;bassemakladios;28;male;Professional
batoul_baz;batoul_baz;728;female;Professional
bbloggersau;bbloggersau;1630;unknown;OtherBrand
bbox;bbox;1429;male;OtherBrand
bdaustralia;bdaustralia;5695;unknown;OtherBrand
bdhpinfo;bdhpinfo;170;unknown;Professional
beautyatelierau;beautyatelierau;17;unknown;OtherBrand
beautybucketeer;beautybucketeer;122;unknown;OtherBrand
beautybyyvee;beautybyyvee;61;female;OtherBrand
beautycrew;beautycrew;188;unknown;OtherBrand
beautympoffical;beautympoffical;2;unknown;OtherBrand
