Id;Label;Followers;Gender;BrandSource
007_tweets;007_tweets;2385;female;OtherBrand
01592_katie;01592_katie;927;female;OtherBrand
0dimmick;0dimmick;166;female;OtherBrand
1111susan;1111susan;4;female;OtherBrand
11cadogan;11cadogan;3188;unknown;OtherBrand
123denzie;123denzie;248;female;OtherBrand
12jane;12jane;324;female;OtherBrand
12months365days;12months365days;653;male;OtherBrand
1400gaby;1400gaby;172;female;OtherBrand
170jay;170jay;440;unknown;JnJBrand
1800babymon;1800babymon;1072;female;JnJBrand
1953barbie;1953barbie;695;female;OtherBrand
1978rebecca;1978rebecca;5563;female;OtherBrand
1990heather;1990heather;2346;female;OtherBrand
19chelle91;19chelle91;32;female;OtherBrand
19lottie;19lottie;447;female;OtherBrand
1alexcam;1alexcam;13720;unknown;OtherBrand
1dozymoo;1dozymoo;2015;unknown;OtherBrand
1ebea90cdf00494;1ebea90cdf00494;267;female;OtherBrand
1fanscottmcglyn;1fanscottmcglyn;198;male;OtherBrand
1kevbanham;1kevbanham;1443;male;OtherBrand
1pmlunch;1pmlunch;36178;unknown;OtherBrand
1stclasslounge;1stclasslounge;59178;unknown;OtherBrand
1visionhealth;1visionhealth;1037;unknown;Professional
2053pam;2053pam;4247;female;OtherBrand
20ash_london;20ash_london;68;male;OtherBrand
22dannyboy87;22dannyboy87;387;male;OtherBrand
22jody;22jody;234;unknown;Professional
23farls;23farls;323;female;OtherBrand
24support;24support;13;unknown;Professional
2589gillian;2589gillian;204;female;OtherBrand
25harleystreet;25harleystreet;144;unknown;Professional
271tiger;271tiger;228;unknown;OtherBrand
2850restaurant;2850restaurant;14976;unknown;Professional
2sisterbloggers;2sisterbloggers;2305;female;OtherBrand
2thenorth;2thenorth;218;unknown;OtherBrand
321daniella;321daniella;55;female;OtherBrand
3_little_ladies;3_little_ladies;1466;female;OtherBrand
3_martini_lunch;3_martini_lunch;455;female;Professional
3bwitt;3bwitt;221;female;OtherBrand
3dlipo;3dlipo;3228;unknown;Professional
3monstersandme;3monstersandme;268;female;OtherBrand
40dawn;40dawn;128;female;OtherBrand
46_linda;46_linda;443;female;OtherBrand
4tmedical;4tmedical;12530;unknown;Professional
5002natasha;5002natasha;144;female;JnJBrand
52alderleyroad;52alderleyroad;1046;unknown;Professional
5starpampering;5starpampering;486;unknown;OtherBrand
666breeze666;666breeze666;455;female;OtherBrand
66owls;66owls;4462;male;OtherBrand
6charlottee6;6charlottee6;1010;female;OtherBrand
70salice;70salice;906;female;OtherBrand
78loretta78;78loretta78;1006;female;OtherBrand
78reasonsnotto;78reasonsnotto;773;male;OtherBrand
79angelgirl;79angelgirl;2525;female;OtherBrand
7prcompany;7prcompany;8074;unknown;OtherBrand
7samyb7;7samyb7;1696;female;OtherBrand
84_jennings;84_jennings;836;female;OtherBrand
88mattjames;88mattjames;56;male;OtherBrand
8bn_glasgow;8bn_glasgow;554;male;OtherBrand
9_reasonswhy;9_reasonswhy;97;female;OtherBrand
_3_dudette_;_3_dudette_;1536;female;OtherBrand
__a_l_i_c_e____;__a_l_i_c_e____;3020;female;OtherBrand
__inbetweendays;__inbetweendays;586;female;OtherBrand
__scm90;__scm90;983;unknown;OtherBrand
__tc___;__tc___;32;female;OtherBrand
__xsp;__xsp;408;unknown;OtherBrand
_abbiewilliams_;_abbiewilliams_;5092;female;OtherBrand
_abigailjessica;_abigailjessica;1955;female;JnJBrand
_aimeecarney_;_aimeecarney_;311;female;JnJBrand
_ambeeeer;_ambeeeer;461;unknown;OtherBrand
_amypamy;_amypamy;312;female;OtherBrand
_andwhynot;_andwhynot;72;unknown;OtherBrand
_april_loves_;_april_loves_;157;female;OtherBrand
_beautyonreview;_beautyonreview;349;female;OtherBrand
_beccawhiting;_beccawhiting;4116;female;JnJBrand
_bellabeauty_;_bellabeauty_;125;female;OtherBrand
_benjani_;_benjani_;260;male;OtherBrand
_carissamay;_carissamay;1794;female;OtherBrand
_cathyj_;_cathyj_;7761;female;OtherBrand
_cdboateng;_cdboateng;6174;unknown;Professional
_charfost;_charfost;1331;female;OtherBrand
_cherrysparkle;_cherrysparkle;1312;male;OtherBrand
_clodagh_m;_clodagh_m;981;female;OtherBrand
_curlyfry;_curlyfry;558;female;OtherBrand
_dermatologist;_dermatologist;1830;male;Professional
_dinners;_dinners;427;unknown;OtherBrand
_dreaminpink;_dreaminpink;4365;female;OtherBrand
_drjane;_drjane;3690;unknown;Professional
_eaux;_eaux;2151;unknown;OtherBrand
_emma_louise_06;_emma_louise_06;50;female;JnJBrand
_fairleigh;_fairleigh;1834;female;OtherBrand
_fangirlizzy;_fangirlizzy;923;male;JnJBrand
_featherbird;_featherbird;1934;female;OtherBrand
_feeer__;_feeer__;1815;female;JnJBrand
_freyaaab;_freyaaab;161;male;OtherBrand
_giinge;_giinge;791;female;OtherBrand
_hannahemily;_hannahemily;159;female;OtherBrand
_hannahwheeler_;_hannahwheeler_;115;female;OtherBrand
_harrietshaw;_harrietshaw;143;female;OtherBrand
_hcs1;_hcs1;2;unknown;JnJBrand
_i_am_joe;_i_am_joe;331;male;OtherBrand
_inyourhonor;_inyourhonor;249;female;OtherBrand
_juliawebb;_juliawebb;1419;female;OtherBrand
_katiemeehan;_katiemeehan;5553;female;OtherBrand
_katieness;_katieness;20;female;OtherBrand
_kingstonblack;_kingstonblack;134;female;OtherBrand
_laurenashtonb;_laurenashtonb;614;female;OtherBrand
_ldnmuse_;_ldnmuse_;945;female;OtherBrand
_ley_ley;_ley_ley;469;female;OtherBrand
_lisaslife_;_lisaslife_;1182;female;OtherBrand
_m0ht;_m0ht;291;male;JnJBrand
_markse;_markse;166;male;OtherBrand
_mixez;_mixez;622;female;Professional
_mummy_bee;_mummy_bee;1025;female;OtherBrand
_natalieeve;_natalieeve;8566;female;OtherBrand
_natalielou88_;_natalielou88_;219;female;OtherBrand
_neffny;_neffny;48;female;OtherBrand
_neilcostello;_neilcostello;2897;male;JnJBrand
_onlinestylist;_onlinestylist;13832;female;OtherBrand
_pink_skies_;_pink_skies_;215;unknown;JnJBrand
_rachabelle;_rachabelle;305;female;OtherBrand
_rebecca_elaine;_rebecca_elaine;735;female;OtherBrand
_rosieglow;_rosieglow;10186;unknown;OtherBrand
_saam;_saam;905;unknown;OtherBrand
_samanthaxxo;_samanthaxxo;181;female;JnJBrand
_sarahmorris_;_sarahmorris_;3783;female;OtherBrand
_sarahsnashall;_sarahsnashall;430;female;OtherBrand
_saraxcx;_saraxcx;649;female;OtherBrand
_sashadale;_sashadale;1076;male;JnJBrand
_shelen_;_shelen_;1871;female;OtherBrand
_successmatters;_successmatters;1345;unknown;Professional
_sunshinestudio;_sunshinestudio;441;unknown;OtherBrand
_the_lbb;_the_lbb;2388;female;Overlap
_the_tophat_;_the_tophat_;475;male;OtherBrand
_themeinside_;_themeinside_;56;unknown;OtherBrand
_thepalearticle;_thepalearticle;106;unknown;OtherBrand
_victorialouise;_victorialouise;456;female;OtherBrand
_victoriaplace;_victoriaplace;1951;unknown;OtherBrand
_whataboutparis;_whataboutparis;126;female;OtherBrand
_youareinlove_;_youareinlove_;799;female;OtherBrand
_zoephillips;_zoephillips;289;female;OtherBrand
a114fun;a114fun;31;male;OtherBrand
a_1exandra;a_1exandra;1574;unknown;OtherBrand
a_happy_savage;a_happy_savage;295;unknown;OtherBrand
a_liqs;a_liqs;69;female;OtherBrand
a_response;a_response;1640;unknown;JnJBrand
aaabbottstories;aaabbottstories;4742;unknown;OtherBrand
aaron_frew;aaron_frew;27737;male;OtherBrand
aaronosullivan1;aaronosullivan1;86;male;OtherBrand
abb3rtr0n;abb3rtr0n;2365;female;OtherBrand
abbeygaillittle;abbeygaillittle;4195;unknown;OtherBrand
abbeyrdunham;abbeyrdunham;335;female;OtherBrand
abbeywozere;abbeywozere;113;female;OtherBrand
abbi_cooper;abbi_cooper;78;unknown;OtherBrand
abbie96fusco;abbie96fusco;729;female;OtherBrand
abbieandahalf;abbieandahalf;493;female;JnJBrand
abbiedajoux;abbiedajoux;1973;female;OtherBrand
abbiedevonport1;abbiedevonport1;18;unknown;OtherBrand
abbieperry18;abbieperry18;127;female;OtherBrand
abbiesteer2;abbiesteer2;19;female;OtherBrand
abbiew2003;abbiew2003;68;female;JnJBrand
abbydaniel22;abbydaniel22;163;female;OtherBrand
abi0289;abi0289;1073;unknown;OtherBrand
abi20202020;abi20202020;1548;unknown;OtherBrand
abifranklyn;abifranklyn;120;female;OtherBrand
abigail__brown;abigail__brown;828;female;OtherBrand
abigail_james;abigail_james;4286;female;OtherBrand
abigail_orr;abigail_orr;1926;female;OtherBrand
abigail_royston;abigail_royston;7215;female;JnJBrand
abigailalicex;abigailalicex;5458;female;OtherBrand
abigailroyston;abigailroyston;44506;female;JnJBrand
abigailuttley;abigailuttley;900;female;OtherBrand
abigailvlogss;abigailvlogss;9994;female;JnJBrand
abikatldn;abikatldn;1317;female;Professional
abilunka;abilunka;1306;female;OtherBrand
abjorob;abjorob;965;female;OtherBrand
ablushofrose;ablushofrose;512;female;OtherBrand
abnexperts;abnexperts;1151;unknown;OtherBrand
abs_armstrong;abs_armstrong;604;female;OtherBrand
abs_random;abs_random;10;unknown;OtherBrand
absolutely_mags;absolutely_mags;9595;unknown;Professional
absolutelyashky;absolutelyashky;1908;unknown;OtherBrand
absolutelyellie;absolutelyellie;760;female;OtherBrand
absta77;absta77;1236;female;OtherBrand
abysmalrain;abysmalrain;1564;female;OtherBrand
