Source;Target;Type;Weight
prettyasskatie;bennyemakeup;Directed;1
aveenous;one5thavenue;Directed;1
gaztah;dermalogica;Directed;1
makeupandboba;clinique;Directed;1
loiscezca;muradskincare;Directed;1
amumdoingherbest;babydovecare;Directed;1
stephyc_xo;ar;Directed;1
coffeetabletalksblog;nykaabeauty;Directed;1
pola_hygienist;jordan_z_mys;Directed;1
coffeelovesbeauty;bioreus;Directed;1
miss_g_u_p_t_a;dove;Directed;1
_beautybyd;ipsy;Directed;1
hennessyhb;get_repost;Directed;1
_pnkflamingo_;walmart;Directed;1
jenigrams;muradskincare;Directed;1
yvetteleija;influenster;Directed;1
1beautymakeup;nabicosmetics;Directed;3
abbasiderm;imageskincare;Directed;3
amberlopezmakeup;itsajali;Directed;1
beauty_fol;morphebrushes;Directed;3
mamabear_and_avery;myspalifellc;Directed;2
perriconemd;creativeecho;Directed;2
edellovesbeauty;biodermauk;Directed;1
that.geminigirl;cliniqueuk;Directed;1
torigottlieb;skinceuticals;Directed;2
britcrawl;olay;Directed;1
bwitch17;rickycarenyc;Directed;1
createnewyork;dove;Directed;1
makeup_yessie;maybelline;Directed;1
whitneyreanae;dermalogica;Directed;1
jcaldz;influenster;Directed;1
dyna_mua;lagirlcosmetics;Directed;1
mynailsarewet;drdanabeauty;Directed;1
imsatindoll;neutrogena;Directed;1
janinedeanna;shoppersdrugmartofficial;Directed;1
sephoravalleyfair;toofaced;Directed;1
heyitskindalauryn;flormar_irl;Directed;1
sydneyoney_;diormakeup;Directed;1
skincarewithsaj;nourishtheskin;Directed;1
laurencrucifix;nyxcosmetics;Directed;1
bruhenrietta;johnsonsbaby;Directed;1
elevenskin;neutrogena;Directed;2
justar0undtheriverbend;influenster;Directed;1
zelly_coco;aveenous;Directed;1
melanin.beauty.2;neutrogena;Directed;1
neutrogena;chimispriv;Directed;1
jennybeautyfreak;simpleskincare;Directed;1
jess_83_xoxo;yardleylondonus;Directed;1
dancingwithflyingcolors;dermalogica;Directed;1
xpose_g;dermalogica;Directed;1
bellabybonfanti;clinique;Directed;1
_sarah.s13;olay;Directed;1
klarabeautylab;stasdoeshair;Directed;1
princessrescueservice;mizon_official;Directed;1
domenicamua;sa;Directed;1
angelinaroe;briogeo;Directed;1
reachingforthatglow;beautyandthe;Directed;1
phamelamua_;hudabeauty;Directed;4
annakachikyan;skinceuticals;Directed;1
nanysklozet;demiwardphoto;Directed;1
kennedy_mua;pearlessenceuk;Directed;1
neutrogena;victoriabayulken;Directed;1
nina_kobi;influenster;Directed;1
satya_linak;tiff_pop;Directed;1
bonniedimatteo;lorealmakeup;Directed;1
neutrogena;kimdaloia;Directed;1
stephyc_xo;luxuryforprincess;Directed;13
amandaweidensjo;itcosmetics;Directed;1
neutrogena;sali_pinilla;Directed;3
thescoopbymv;thescoopbymv;Directed;1
addictedtoskin;nlaesthetics;Directed;2
wanderlustcurls;stylenfuse;Directed;1
julscrnj;neutrogena;Directed;1
space.halien;bitebeauty;Directed;2
alexaolavarria;neutrogena;Directed;7
emmaforanmua;jeffreestarcosmetics;Directed;1
ashuntasheriff;nami_ife;Directed;1
drugstoredressingtable;skinfixinc;Directed;1
calmasalon;missriteenusa;Directed;3
mariapecoraromakeup;artemeslashes;Directed;1
_diana.j_;thebalm_co;Directed;1
viixxen_the_catz_meow;nyxcosmetics;Directed;1
thefitnigerianlady;neutrogena;Directed;1
mymakeupbrands;dermalogica;Directed;1
viseart;eight_field_of_freedom;Directed;1
makeup_obsess3d;wetnwildbeauty;Directed;2
kristina_delish_bacon;influenster;Directed;3
brandikirchgessner;evolvh;Directed;1
beautybycassss;neutrogena;Directed;1
dove;successwithteamwork;Directed;1
crazypretty;hairbyeloise;Directed;6
dbeautyjunkie;iam_errrrrrrca;Directed;2
narz;theorganicpharmacy;Directed;1
dreamalittledreamvt;dermalogica;Directed;1
bnadyn;evahairnyc;Directed;1
theauxiliaryclub;nipandfab;Directed;1
asiantattoogirls;janistrue;Directed;3
beautybubblez;neutrogena;Directed;1
kymdouglas;perriconemd;Directed;1
glamby_pari;chichicosmeticsofficial;Directed;15
varina.denman.author;shame;Directed;1
beautyandthecandy;colourpopcosmetics;Directed;5
prairie.beauty;dermalogica;Directed;4
devikakodasi_makeupartistry;dermalogica;Directed;1
birdebeauty;dermalogica;Directed;1
shiraabeauty;lauramercier;Directed;2
carissaferreri;mtstylist;Directed;1
maryqvc;drdeneseskincare;Directed;1
ninasinganon;vaselineph;Directed;1
courtney_sylvester;krisnations;Directed;1
anastasiaashley;proactiv;Directed;2
joshh9302;dermalogica;Directed;60
bleutiflily;influe;Directed;1
gizzirainbowbritesparkles;dove;Directed;1
glowingeverafter;jordansamuelskin;Directed;1
good_skin_pls;dermalogicaaus;Directed;3
princesskit10_;thecremeshop;Directed;1
itsdendo;coppertone;Directed;1
natashacynn;kesiaanaya;Directed;2
vazquezmakeup;diamond_swatches;Directed;6
dollieanderson;beccacosmetics;Directed;2
bebe_bella_muas;morphebrushes;Directed;1
maryhadalittlegramm;bilintinamakeup;Directed;1
ahintofbeauty;pinchme;Directed;1
satya_linak;simon;Directed;3
skinceuticals;thedermaclinic;Directed;1
native.rose_beauty;olay;Directed;1
skinceuticals;dermopharmacy;Directed;2
salty_yurio;clearskindoc;Directed;1
sandra_grattarola;luizaskapare;Directed;12
tenipanosian;loraccosmetics;Directed;1
indigoheightsblog;lashfood;Directed;1
heidi.stephens;aveenous;Directed;1
tosistersinwisdom;nikewomen;Directed;1
makeupdazed;dermalogica;Directed;1
rachel.kayat;bhcosmetics;Directed;3
beauty.eq;meccacosmetica;Directed;1
maddogmommy4;neutrogena;Directed;1
bonniedimatteo;neutrogena;Directed;3
the.aristochic;ultabeauty;Directed;1
love_thy_skin;sundayriley;Directed;1
jackie.forever;maccosmetics;Directed;1
katia0216;vichyusa;Directed;2
pandoradoll4;aveneusa;Directed;1
neutrogena;biereclosado;Directed;1
afshin_alam;proactiv;Directed;1
amazing1972;poisebrand;Directed;1
mslisadionne;vichyusa;Directed;1
