Id;Label;Followers;Gender;BrandSource
000000000lana;000000000lana;0;unknown;JnJBrand
00420v;00420v;797;female;OtherBrand
007007red;007007red;19;unknown;OtherBrand
0071harley;0071harley;0;male;OtherBrand
007blond;007blond;0;unknown;JnJBrand
007lynn;007lynn;3524;female;Professional
007najjar;007najjar;347;female;Professional
007war;007war;260;female;OtherBrand
00aby;00aby;0;unknown;JnJBrand
00chris1;00chris1;0;unknown;OtherBrand
00livecali;00livecali;288;female;OtherBrand
012yewonie;012yewonie;0;male;OtherBrand
014pussify;014pussify;38;unknown;Professional
01dolphins;01dolphins;24307;male;OtherBrand
01greenen;01greenen;1567;female;OtherBrand
01koldshok;01koldshok;30;male;OtherBrand
01opino;01opino;178;unknown;OtherBrand
01rochely;01rochely;19;unknown;OtherBrand
01splcheck;01splcheck;453;unknown;JnJBrand
01tmarie21;01tmarie21;630;female;OtherBrand
022005_;022005_;0;male;OtherBrand
02dafina02;02dafina02;76;female;JnJBrand
0328franknitti;0328franknitti;1029;unknown;JnJBrand
0331_brenda;0331_brenda;11;female;OtherBrand
037a12110bf6432;037a12110bf6432;1;female;OtherBrand
03_danay;03_danay;4078;female;JnJBrand
03_jensen;03_jensen;2528;male;OtherBrand
03be8ac6d79c4a8;03be8ac6d79c4a8;0;female;OtherBrand
03mattstevenson;03mattstevenson;1965;male;JnJBrand
040414js;040414js;5;female;OtherBrand
0409sjsaya1315;0409sjsaya1315;0;unknown;JnJBrand
046269d6497957b;046269d6497957b;48;unknown;OtherBrand
04ebyoung;04ebyoung;4929;unknown;OtherBrand
0504mn_;0504mn_;102;female;OtherBrand
059jewels;059jewels;38;unknown;Professional
05maddee;05maddee;13542;male;OtherBrand
05max;05max;11;male;JnJBrand
05vedia;05vedia;77;female;OtherBrand
0611_joanne;0611_joanne;0;unknown;OtherBrand
06_kathie;06_kathie;129;female;OtherBrand
06kmg2000;06kmg2000;6058;male;JnJBrand
080583heather;080583heather;461;female;OtherBrand
0805_0116;0805_0116;21269;female;OtherBrand
08baileykatie;08baileykatie;44;female;OtherBrand
08nrw;08nrw;41;unknown;OtherBrand
